country,date,population_density,total_population,urban_population_pct,fertility_rate,age_dependency_ratio,life_expectancy,infant_mortality,gdp_per_capita,gross_capital_form_pct,inflation_rate,trade_pct_gdp,fdi_inflows_pct,country-year,gdp_growth,country_code
Australia,1980,1.91244809497156,0.006090005594468549,85.552,1.891,53.5227205162343,74.3336585365854,10.8,0.10630278249130984,27.0863357451677,10.1358411703239,32.2982750679721,1.24425097581789,Australia 1980,,0
Australia,1981,1.94255105892766,0.006252936437247849,85.7,1.935,53.1270550791218,74.6634146341463,10.4,0.12376432058658948,28.6768180624836,9.4876660341556,31.6034392228931,1.3265164987437,Australia 1981,16.11222808260497,0
Australia,1982,1.97652356716088,0.006436811002085871,85.67,1.929,52.7001715938254,74.9048780487805,10.1,0.13358897848196974,29.8339588308882,11.3518197573657,30.3246900943933,1.17826304115256,Australia 1982,7.807510611871438,0
Australia,1983,2.00375824948258,0.006584217408643422,85.641,1.924,52.2039480254237,75.1463414634146,9.8,0.12017698302680985,25.3017200418132,10.0389105058366,29.1752457579693,1.68726223173158,Australia 1983,-9.886430693905746,0
Australia,1984,2.02795920492561,0.006715203914561802,85.611,1.84,51.6528322662871,75.3878048780488,9.6,0.12979632916515854,26.6297913361692,3.96039603960396,28.5400083297066,0.221289107088102,Australia 1984,7.868672845643343,0
Australia,1985,2.05515431576481,0.006862396142375924,85.582,1.923,51.0763595144409,75.6292682926829,9.3,0.1193896895628143,28.0017664318501,6.73469387755102,32.4883334819514,1.16175097008312,Australia 1985,-7.8917099645197775,0
Australia,1986,2.08509821277482,0.007024466042969476,85.552,1.868,50.5057401022417,75.8707317073171,9.1,0.11886338476372602,28.4776233828462,9.05035054174633,33.0085289889794,2.94263882043336,Australia 1986,-0.433310498475481,0
Australia,1987,2.11705791234396,0.007197446377841675,85.522,1.845,50.0137894953746,76.1517073170732,8.8,0.12161633041887562,27.3534567651188,8.53302162478083,32.5101443607132,2.739123063902,Australia 1987,2.2763836208813837,0
Australia,1988,2.15198104734259,0.007386466164269326,85.493,1.831,49.6764812795347,76.4326829268293,8.4,0.14957438280151558,27.9679711136169,7.21593968766828,32.5649604722381,3.58923190347094,Australia 1988,22.60369115292955,0
Australia,1989,2.18872160681046,0.007585322673117129,85.463,1.838,49.4876259242506,76.7136585365854,8.0,0.1872550194211471,29.609807754969,7.53390256152687,32.0650048875855,2.67549683990463,Australia 1989,24.84775387848117,0
Australia,1990,2.22135662496908,0.007761958137334391,85.433,1.902,49.4681242875355,76.9946341463415,7.6,0.1916589639649888,28.9419648482962,7.33302195235871,32.1527144597396,2.7158165321445,Australia 1990,2.326108740081856,0
Australia,1991,2.24985173710998,0.007916186559591292,85.403,1.849,49.6170680136445,77.2756097560976,7.1,0.19814102494821512,24.2196604162453,3.17667536988686,32.1891884083095,0.801308065533215,Australia 1991,3.3459143925423263,0
Australia,1992,2.27518256251383,0.008053288432262783,85.285,1.888,49.811919085308,77.3780487804878,6.7,0.19563867545127292,22.3457285957286,1.01223112610713,33.0445567945568,1.51813252726491,Australia 1992,-1.2498456031170835,0
Australia,1993,2.2955115004621,0.008163317829950976,85.157,1.859,49.9860771260875,77.8780487804878,6.3,0.18582638765825696,23.6020160772935,1.75365344467641,35.3995349245547,1.70197301245734,Australia 1993,-4.962961366359675,0
Australia,1994,2.31772620178853,0.008283553831112938,85.028,1.842,50.0950366169999,77.8780487804878,6.0,0.190388614083138,24.2712974452281,1.96963479688141,36.4588088303684,1.38116248962263,Australia 1994,2.4280328457651823,0
